date,campaign_name,adset_name,ad_name,impressions,clicks,spend,conversions,thruplay,광고목적,소재링크
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_하림_외국인뽕따BP_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_외국인뽕따BP_main.릴스_공통.X_2P_문선정_260724_빙과_이하림,2514,0,4878.304372,0,689,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_하림_외국인뽕따BP_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_외국인뽕따BP_var1.릴스_좋아할까.X_2P_문선정_260724_빙과_이하림,2163,0,4176.449858,0,629,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0811_수현_바이럴(1)_JD멜,[26.08]F_V_JD멜_인지_쫀득바출시_바이럴형_커뮤니티형_main.릴스_성심당.비교.X_스틱바P_이재원_260811_빙과_이수현,194,0,334.845773,0,13,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_수현_바이럴(3)_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_정보전달형_main.릴스_600억.X_1P_김유진_260724_빙과_이수현,337244,0,672263.4033,0,50379,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 3주차_육아BP,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_육아bp_var2.릴스_엄마.X_2P_문선정_260716_빙과_이하림,2320,0,4777.134139,0,685,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 3주차_육아BP,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_육아bp_var1.릴스_아기.X_2P_문선정_260716_빙과_이하림,2889,0,6026.560452,0,860,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 3주차_육아BP,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_육아bp_var4.릴스_로블록스.X_2P_문선정_260716_빙과_이하림,2311,0,4819.140571,0,580,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 3주차_육아BP,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_육아bp_var3.릴스_슈기.X_2P_문선정_260716_빙과_이하림,2522,0,5263.717178,0,645,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 3주차_육아BP,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_육아bp_main.릴스_공통.X_2P_문선정_260716_빙과_이하림,2088,0,4311.454235,0,630,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 3주차_현장감BP,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_현장감BP_var2.릴스_사재기.죄송.X_2P_문선정_260716_빙과_유영현,3658,0,7435.55156,0,832,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 3주차_현장감BP,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_현장감BP_var3.릴스_사재기.싫은.X_2P_문선정_260716_빙과_유영현,3432,0,7093.993347,0,754,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,기존 고효율_1,[26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_커뮤니티형_var3.릴스_요즘애들.초딩.X_1P_문선정_260703_빙과_김진수,4312,0,8014.923222,0,912,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 4주차_영현_바이럴(2)_JD멜,[26.07]F_V_JD멜_바이럴_쫀득바출시_인지_정보전달형_main.렉카_업계최초.X_2P_김유진_260722_빙과_유영현,3166,0,6825.679758,0,545,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 3주차_바이럴형_초딩유행,26 07F V JD멜 인지 쫀득바출시 바이럴형 렉카형 var6 렉카 슈기 초딩 학부모진상 X 1P 영상팀 260715 빙과 정요한,7240,0,14666.65617,0,1006,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 3주차_바이럴형_초딩유행,26 07F V JD멜 인지 쫀득바출시 바이럴형 렉카형 var7 렉카 슈기 초딩 잼민이환장 X 1P 영상팀 260715 빙과 정요한,4216,0,8521.558366,0,813,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_수현_바이럴(5)_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_썰풀기형_main.릴스_하몽슈기.X_1P_김유진_260724_빙과_이수현,2254,0,4386.903099,0,686,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_온드_비하인드(1)_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_비하인드 다큐_main.렉카_멜쫀바폐기.X_2P_문선정_260724_빙과_노현경,23416,0,53168.50572,0,6107,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_요한_바이럴(4)_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_썰풀기형_main.렉카_건희소스2.먹잘알치트키.X_1P_김유진_260723_빙과_정요한,3548,0,7449.992643,0,439,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_요한_바이럴(4)_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_썰풀기형_var2.렉카_건희소스2.건희코인.X_1P_김유진_260723_빙과_정요한,2036,0,4316.420509,0,345,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_요한_바이럴(4)_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_썰풀기형_var1.렉카_건희소스2.하이디라오붐업.X_1P_김유진_260723_빙과_정요한,2197,0,4733.912892,0,357,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 4주차_요한_바이럴(2)_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_커뮤니티형_main.렉카_슈기.슈기활용.X_1P_김유진_260722_빙과_정요한,9607,0,20735.79247,0,2176,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_추성훈BP_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_추성훈BP_var2.렉카_1204호.7월.수민PJ_1P_영상팀_260724_빙과_이수민,3223,0,9816.597201,0,608,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_추성훈BP_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_추성훈BP_var4.렉카_택배깡.7월.수민PJ_1P_영상팀_260724_빙과_이수민,5075,0,15133.10187,0,1363,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_추성훈BP_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_추성훈BP_main.렉카_공통.7월.수민PJ_1P_영상팀_260724_빙과_이수민,4167,0,12625.86392,0,1330,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_추성훈BP_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_추성훈BP_var1.렉카_손이없어서.7월.수민PJ_1P_영상팀_260724_빙과_이수민,4681,0,14631.14912,0,1251,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_추성훈BP_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_추성훈BP_var5.렉카_매출1등.7월.수민PJ_1P_영상팀_260724_빙과_이수민,6135,0,18160.14326,0,661,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_추성훈BP_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_추성훈BP_var3.렉카_몰래먹기.7월.수민PJ_1P_영상팀_260724_빙과_이수민,3978,0,12274.36403,0,1205,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 4주차_요한_바이럴(3)_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_썰풀기형_var2.렉카_슈기.건희.집단활용.작은공.X_1P_김유진_260723_빙과_정요한,2550,0,5747.981509,0,456,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 4주차_요한_바이럴(3)_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_썰풀기형_main.렉카_슈기.건희.집단활용.직원들만못사먹는.X_1P_김유진_260723_빙과_정요한,2465,0,5464.92716,0,464,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 4주차_요한_바이럴(3)_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_썰풀기형_main.렉카_건희소스2.먹잘알치트키.X_1P_김유진_260723_빙과_정요한,2659,0,5988.911839,0,514,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 3주차_바이럴형_미틀리에,26 07F V JD멜 인지 쫀득바출시 바이럴형 렉카형 var4 렉카 슈기 회사 판매중단 X 1P 영상팀 260715 빙과 정요한,2705,0,5316.966862,0,484,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 3주차_바이럴형_미틀리에,26 07F V JD멜 인지 쫀득바출시 바이럴형 렉카형 var5 렉카 슈기 회사 개싸움 X 1P 영상팀 260715 빙과 정요한,2144,0,4116.608189,0,394,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0811_요한_바이럴(1)_JD멜,[26.08]F_V_JD멜_인지_쫀득바출시_바이럴형_정보전달형_main.릴스_돈키호테역대급콜라보.X_스틱바P_이재원_260811_빙과_정요한,321,0,547.70873,0,34,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 2주차_바이럴형(진수님),26 07F V JD멜 인지 쫀득바출시 바이럴형 썰풀기형 var1 릴스 롱버전 X 1P 문선정 260710 빙과 김진수,4659,0,9422.921446,0,1059,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 2주차_바이럴형(진수님),26 07F V JD멜 인지 쫀득바출시 바이럴형 렉카형 main 릴스 슈기O X 1P 문선정 260710 빙과 김진수,4785,0,9638.650767,0,1604,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,7월 2주차_인물리뷰형(현경님),26 07F V JD멜 인지 쫀득바출시 인물리뷰형 인물리뷰 main 릴스 현장 X 2P 영상팀 260710 빙과 노현경,16623,0,33895.82545,0,3780,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_하림_외국인빠삐코BP_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_외국인빠삐코BP_main.릴스_공통.X_2P_문선정_260724_빙과_이하림,1786,0,3297.812605,0,420,인지,
2026-08-11,[쫀득바] 인지광고_도달_26.07_관심사타깃,0724_하림_외국인빠삐코BP_JD멜,[26.07]F_V_JD멜_인지_쫀득바출시_신규BP_외국인빠삐코BP_var1.릴스_충격 외국인.X_2P_문선정_260724_빙과_이하림,1352,0,2458.965663,0,357,인지,
