소재명,광고비_기간합계,ad_id,instagram_permalink,facebook_link,effective_instagram_media_id,object_type
[26.04]F_V_P망_전환_망요파출시_네고형_관계성네고형_var1.릴스_규모감.X_1C_고가영_260424_1T_이미진,84816432,120245678853640659,https://www.instagram.com/p/DXgkmNLgC_1/,https://www.facebook.com/135447683885686_1469638485177586,18119743642652041,VIDEO
[26.06]F_V_JD멜_전환_쫀득바출시_맛인지형_우베BP_var1.릴스_혜택.X_2P_김유진_260605_빙과_김지연,78185187,120248737510830659,https://www.instagram.com/p/DZOnr47AGGu/,https://www.facebook.com/413028192784665_1606408011495236,18076173926279793,VIDEO
[26.03]F_V_P초_전환_복요파출시_네고형_실수네고형_var3.릴스_살려주세요.03_00_고가영_260320_1T_윤성미,76653914,120243949247170659,https://www.instagram.com/p/DXLSZ3VAOCw/,https://www.facebook.com/135447683885686_1461952809279487,17936916450198808,VIDEO
[26.03]F_V_P초_전환_복요파출시_네고형_전화네고형_var3.릴스_CS. 본론.03_00_고가영_260306_1T_강다빈,59208438,120243391061760659,https://www.instagram.com/p/DW3WCVsAK5P/,https://www.facebook.com/135447683885686_1455250943283007,18046776047745995,VIDEO
[26.02]F_V_P복_전환_복요파출시_네고형_전라도청년BP_main.릴스_공통부터.03_00_전시은_260227_1T_이미진,47802672,120243058996810659,https://www.instagram.com/p/DXLOENEADL8/,https://www.facebook.com/135447683885686_1461928475948587,18068227571649785,VIDEO
[26.05]F_V_DB딸_전환_듬뿍바출시이벤트_네고형_네고형_main.릴스_딸기주물럭.현경PJ1_2C_허재희_260514_2T_노현경,47464570,120247050054740659,https://www.instagram.com/p/DYV0275gK2U/,https://www.facebook.com/135447683885686_1489184319889669,18373123660206962,VIDEO
[26.04]F_V_P망_전환_망요파출시_쩜오건_마미케어BP_main.릴스_기본.가격구성집중.재원PJ1_1C_최재원_260417_1T_최재원,45620747,120245277282320659,https://www.instagram.com/p/DXOH7v_gKeP/,https://www.facebook.com/413028192784665_1558024013000303,18160462075434123,VIDEO
[26.03]F_V_P초_전환_복요파출시_기타_꼬막BP_var1.릴스_대세감.02_00_고가영_260313_1T_강다빈,41004363,120243675885980659,https://www.instagram.com/p/DXLSLHMAH69/,https://www.facebook.com/135447683885686_1461951535946281,18124460725716660,VIDEO
[26.05]F_V_P혼_전환_파인트990원_네고형_기본네고형_var1.릴스_악플읽기.재원PJ1_1C_문선정_260501_1T_최재원,39800192,120246025850610659,https://www.instagram.com/p/DXuFCYIgNRC/,https://www.facebook.com/135447683885686_1474585411349560,17858749434688431,VIDEO
[26.04]F_I_P혼_전환_망요파출시_혜택강조형_혜택.100_.배너_혜택O.예외적할인상황.가격인상.전쟁.판매중단.원재료수급불안정_확장_문선정_260422_1셀_김민우,39253730,120245540984610659,https://www.instagram.com/p/DXbdtpGjCHP/,https://www.facebook.com/135447683885686_1467674108707357,18202035685341394,SHARE
[26.03]F_V_P초_전환_복요파출시_쩜오건_밈활용_var1.릴스_기본.03_00_이봄_260320_1T_이봄1,35892666,120243940488790659,https://www.instagram.com/p/DY7pR9DAJYO/,https://www.facebook.com/413028192784665_1598668758935828,17869421397681427,VIDEO
[26.02]F_V_P초_전환_복요파출시_네고형_책상네고형_main.릴스_기본.03_08_문선정_260220_1T_이미진,35408547,120242614501890659,https://www.instagram.com/p/DXLS5pJAEVC/,https://www.facebook.com/135447683885686_1461956455945789,17996725979941530,VIDEO
