소재명,youtube_link
(광고) GS25에 납작복숭아 뺨치는 아이스크림 신상 나왔어요!!! 무려 그릭복숭아쫀득바..이거 진짜 맛있음 ㅠㅜㅜㅜㅜ❤️❤️달콤하고 진한 복숭아맛 샤베트에 생그릭요거트 들.mp4,https://www.youtube.com/watch?v=uZvKLNyXdNM
(운영X) 26 07F V JD멜 인지 쫀득바출시 바이럴형 렉카형 main 렉카 슈기 슈기유행 1세대먹방 X 1P 영상팀 260715 빙과 정요한,https://www.youtube.com/watch?v=1Ycd7Srlqkg
(운영X) 26 07F V JD멜 인지 쫀득바출시 바이럴형 렉카형 main 릴스 슈기O X 1P 문선정 260710 빙과 김진수,https://www.youtube.com/watch?v=jUps2plmjg8
(운영X) 26 07F V JD멜 인지 쫀득바출시 바이럴형 렉카형 var3 렉카 슈기 슈기유행 커뮤에서난리난 X 1P 영상팀 260715 빙과 정요한,https://www.youtube.com/watch?v=zCBxFGFWLOg
(운영X) 26 07F V JD멜 인지 쫀득바출시 바이럴형 렉카형 var4 렉카 슈기 회사 판매중단 X 1P 영상팀 260715 빙과 정요한,https://www.youtube.com/watch?v=7BSj8y-CC00
(운영X) 26 07F V JD멜 인지 쫀득바출시 바이럴형 렉카형 var5 렉카 슈기 회사 개싸움 X 1P 영상팀 260715 빙과 정요한,https://www.youtube.com/watch?v=AcLbTAW6Eb8
(운영X) 26 07F V JD멜 인지 쫀득바출시 바이럴형 렉카형 var6 렉카 슈기 초딩 학부모진상 X 1P 영상팀 260715 빙과 정요한,https://www.youtube.com/watch?v=bUWz22YrMwM
(운영X) 26 07F V JD멜 인지 쫀득바출시 바이럴형 렉카형 var7 렉카 슈기 초딩 잼민이환장 X 1P 영상팀 260715 빙과 정요한,https://www.youtube.com/watch?v=5a1CyLvsZ7E
(운영X) 26 07F V JD멜 인지 쫀득바출시 인물리뷰형 관계강조형 var6 릴스 하몽 슈기 X 1P 김유진 260710 빙과 이수현,https://www.youtube.com/watch?v=qGvO7QbPOqM
(운영X) 26 07F V JD멜 인지 쫀득바출시 인물리뷰형 누나동생 var3 릴스 슈기먹방러 X 2P 문선정 260710 빙과 유영현,https://www.youtube.com/watch?v=8nIYJe8_B-w
(운영X) [26.07]F_V_JD멜_인지_쫀득바출시_기타_백정BP_var1.릴스_슈기.X_2P_김유진_260720_빙과_조의진,https://www.youtube.com/watch?v=gS_KNhNseaY
(운영X) [26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_썰풀기형_main.렉카_슈기.건희.집단활용.직원들만못사먹는.X_1P_김유진_260723_빙과_정요한,https://www.youtube.com/watch?v=C7s3yAj5dgU
(운영X) [26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_썰풀기형_main.릴스_하몽슈기.X_1P_김유진_260724_빙과_이수현,https://www.youtube.com/watch?v=3W4F95KWBEw
(운영X) [26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_썰풀기형_var2.렉카_슈기.건희.집단활용.작은공.X_1P_김유진_260723_빙과_정요한,https://www.youtube.com/watch?v=rMB0eEMHzVk
(운영X) [26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_정보전달형_main.렉카_슈기.건희.아이돌보다영향력쎈슈기.X_1P_김유진_260723_빙과_정요한,https://www.youtube.com/watch?v=CNmVtExSzLM
(운영X) [26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_정보전달형_main.릴스_이나연.고급소비.논란.X_2P_김유진_260729_빙과_노현경,https://www.youtube.com/watch?v=yF_8TqzUd6M
(운영X) [26.07]F_V_JD멜_인지_쫀득바출시_바이럴형_커뮤니티형_main.렉카_슈기.슈기활용.X_1P_김유진_260722_빙과_정요한,https://www.youtube.com/watch?v=cMfsFtu0g7Q
